City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification score,Qualification rank,Semi-Final score,Semi-Final rank,1/8 score,1/4 score,1/2 score,Small Final score,Final score,Final rank
Salt Lake City,USA,2022,BS,WC,speed,Men,11,Guillaume,Moro,FRA,1994,5.79,10,,,9.4,,,,,11
Salt Lake City,USA,2022,BS,WC,speed,Men,12,Merritt,Ernsberger,USA,1999,5.89,11,,,FALL,,,,,12
Salt Lake City,USA,2022,BS,WC,speed,Men,13,Pierre,Rebreyend,FRA,1997,5.92,12,,,5.93,,,,,13
Salt Lake City,USA,2022,BS,WC,speed,Men,14,Ethan,Pitcher,CAN,2001,6.063,14,,,8.5,,,,,14
Salt Lake City,USA,2022,BS,WC,speed,Men,15,Gian Luca,Zodda,ITA,1999,6.067,15,,,6.91,,,,,15
Salt Lake City,USA,2022,BS,WC,speed,Men,16,Quinn,O'Francia,USA,2004,6.09,16,,,6.26,,,,,16
Salt Lake City,USA,2022,BS,WC,speed,Men,17,Joe,Goodacre,USA,2001,6.1,17,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,18,Yudai,Ikeda,JPN,1998,6.12,18,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,19,Tobias,Plangger,AUT,2001,6.15,19,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,20,Lukas,Knapp,AUT,1997,6.16,20,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,21,Nickolaie,RIVADENEIRA ,ECU,2001,6.3,21,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,22,Linus,Bader,GER,2002,6.39,22,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,23,Sebastian,Lucke,GER,2002,6.43,23,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,24,Ayumu,MITA,JPN,2005,6.47,24,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,25,Shuto,FUJINO,JPN,2004,6.59,25,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,26,Akihisa,KAJI,JPN,2002,6.71,26,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,27,Zach,Hammer,USA,2006,6.79,27,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,28,Oliver,Kuang,USA,2004,6.81,28,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,29,Darren,Skolnik,USA,2002,6.82,29,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,30,Hajime,Takeda,JPN,2002,6.85,30,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,31,Richard,Li,USA,2006,7.43,31,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,32,Calrin,Curtis,RSA,1993,7.79,32,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,33,Silas,Chang,USA,2005,8.21,33,,,,,,,,
