discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Men;46;Jan;Kriz;CZE;1996;;;;;6.29;46;;;;;;;;
speed;Men;47;Alessandro;Cingari;ITA;1999;;;;;6.32;47;;;;;;;;
speed;Men;48;Lukas;Knapp;AUT;1997;;;;;6.41;48;;;;;;;;
speed;Men;49;Chi-fung;AU;HKG;1995;;;;;6.42;49;;;;;;;;
speed;Men;50;Matvey;Yessipov;KAZ;2003;;;;;6.47;50;;;;;;;;
speed;Men;51;Guillaume;Moro;FRA;1994;;;;;6.50;51;;;;;;;;
speed;Men;52;Gian Luca;Zodda;ITA;1999;;;;;6.555;52;;;;;;;;
speed;Men;53;Matthew;Fall;GBR;2002;;;;;6.556;53;;;;;;;;
speed;Men;54;Dylan;Le;CAN;2005;;;;;6.62;54;;;;;;;;
speed;Men;55;Richard;Li;USA;2006;;;;;6.90;55;;;;;;;;
speed;Men;56;Valentin;Sternik;ARG;2001;;;;;7.21;56;;;;;;;;
speed;Men;57;Joshua;Bruyns;RSA;2003;;;;;7.24;57;;;;;;;;
speed;Men;58;Samuel;Watson;USA;2006;;;;;7.28;58;;;;;;;;
speed;Men;59;Man-hei;CHUNG;HKG;2004;;;;;7.44;59;;;;;;;;
speed;Men;60;Jun;YASUKAWA;JPN;2003;;;;;7.50;60;;;;;;;;
speed;Men;61;Aaron;Mattes;AUS;2002;;;;;8.01;61;;;;;;;;
speed;Men;62;Tsz-kiu;LAU;HKG;2004;;;;;FALSE START;62;;;;;;;;
speed;Women;1;LIJUAN;DENG;CHN;2000;;;;;6.74 (AsR);1;;;6.88;6.75;6.71;;6.55;1
speed;Women;2;Aleksandra;Kalucka;POL;2001;;;;;6.87;3;;;6.96;6.78;6.81;;6.64;2
speed;Women;3;DESAK;MADE RITA KUSUMA DEWI;INA;2001;;;;;7.02;4;;;7.08;6.92;6.92;6.82;;3
speed;Women;4;RAJIAH;SALLSABILLAH;INA;1999;;;;;6.85;2;;;7.05;6.85;6.88;6.90;;4
speed;Women;5;GUIZHEN;XIE;CHN;1998;;;;;7.05;5;;;7.41;7.17;;;;5
speed;Women;6;DI;NIU;CHN;1996;;;;;7.09;6;;;WILDCARD;7.06;;;;6
speed;Women;7;Natalia;Kalucka;POL;2001;;;;;7.15;7;;;7.42;7.08;;;;7
speed;Women;8;NURUL;IQAMAH;INA;1995;;;;;7.22;9;;;7.61;7.25;;;;8
speed;Women;9;Aurelia;Sarisson;FRA;1997;;;;;7.19;8;;;9.39;;;;;9
speed;Women;10;Capucine;Viglione;FRA;2002;;;;;7.321;10;;;8.03;;;;;10
speed;Women;11;Jimin;JEONG;KOR;2004;;;;;7.39;12;;;8.13;;;;;11
speed;Women;12;Patrycja;Chudziak;POL;1997;;;;;7.41;13;;;7.52;;;;;12
speed;Women;13;Beatrice;Colli;ITA;2004;;;;;7.65;14;;;7.88;;;;;13
speed;Women;14;Victoire;Andrier;FRA;1996;;;;;7.70;15;;;7.43;;;;;14
speed;Women;15;Andrea;Rojas;ECU;1995;;;;;7.73;16;;;8.08;;;;;15
speed;Women;16;YUFANG;XIE;CHN;2002;;;;;7.324;11;;;DNS;;;;;
speed;Women;17;Mahya;Darabian;IRI;2002;;;;;7.86;17;;;;;;;;
speed;Women;18;Giulia;Randi ;ITA;2002;;;;;7.87;18;;;;;;;;
