discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
boulder;Women;27;Elena;Krasovskaia;RUS;2000;;;;;2T3z 15 13;27;;;;
boulder;Women;27;Sofya;Yokoyama;SUI;1998;;;;;1T4z 4 11;27;;;;
boulder;Women;29;Ayala;Kerem;ISR;2001;;;;;1T5z 5 15;29;;;;
boulder;Women;29;Irina;Kuzmenko;RUS;1995;;;;;1T3z 2 9;29;;;;
boulder;Women;31;Julija;Kruder;SLO;1997;;;;;1T3z 3 7;31;;;;
boulder;Women;31;Ekaterina;Kipriianova;RUS;1989;;;;;1T4z 1 10;31;;;;
boulder;Women;33;Fanny;Gibert;FRA;1993;;;;;1T3z 4 8;33;;;;
boulder;Women;33;Hannah;Meul;GER;2001;;;;;1T4z 3 7;33;;;;
boulder;Women;35;Alma;Bestvater;GER;1996;;;;;1T4z 4 15;35;;;;
boulder;Women;35;Lena;SCHRITTWIESER;AUT;2005;;;;;1T3z 4 9;35;;;;
boulder;Women;37;Viktoriia;Meshkova;RUS;2000;;;;;1T4z 4 17;37;;;;
boulder;Women;37;Naama;Yohai;ISR;2000;;;;;1T3z 5 9;37;;;;
boulder;Women;39;Eva Maria;Hammelmüller;AUT;2000;;;;;1T3z 5 10;39;;;;
boulder;Women;39;Sunniva Eik;Haave;NOR;1997;;;;;1T4z 6 10;39;;;;
boulder;Women;41;Lucia;Dörffel;GER;2000;;;;;1T3z 4 12;41;;;;
boulder;Women;41;Laura;Loikas;FIN;2002;;;;;1T3z 5 13;41;;;;
boulder;Women;43;Anouck;Jaubert;FRA;1994;;;;;1T3z 5 7;43;;;;
boulder;Women;43;Natalie;Bärtschi;SUI;1994;;;;;1T3z 5 16;43;;;;
boulder;Women;45;Margaryta;Zakharova;UKR;1995;;;;;1T3z 6 9;45;;;;
boulder;Women;45;Leonie;Lochner;GER;2000;;;;;1T3z 6 9;45;;;;
boulder;Women;45;Giulia;Medici;ITA;1999;;;;;1T2z 2 4;45;;;;
boulder;Women;48;Urska;Repusic;SLO;2000;;;;;1T2z 3 6;48;;;;
boulder;Women;48;Miku;ISHII;JPN;2000;;;;;1T2z 3 6;48;;;;
boulder;Women;50;Yula;Gold;ISR;2002;;;;;1T3z 6 13;50;;;;
boulder;Women;51;Mailys;Piazzalunga;FRA;2001;;;;;1T2z 3 7;51;;;;
boulder;Women;51;Alejandra;Contreras;CHI;2000;;;;;0T3z 0 6;51;;;;
boulder;Women;53;Katrine;Vandet Salling;DEN;1994;;;;;1T2z 11 15;53;;;;
boulder;Women;53;Pleun;Frank;NED;2002;;;;;0T3z 0 9;53;;;;
